Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6;
Ahuatli 1;12,00 €;40x40 mm;50 mm;Ahuatli 1 1;;;;;;
Ahuatli 2;10,00 €;40x40 mm;50 mm;Ahuatli 2 1;;;;;;
Ahuatli Babies;4,00 €;40x40 mm;50 mm;Ahuatli Babies 1;;;;;;
Ancient Kuakuauitl with Vortex;38,00 €;50 mm;120x92 mm;Ancient Kuakuauitl with Vortex 1;;;;;;
Ancient Kuakuauitl with Vortex Scenique;41,00 €;50 mm;120x92 mm;Ancient Kuakuauitl with Vortex 1;;;;;;
Archeoptl;4,00 €;20x20mm;25 mm;Archeoptl 1;;;;;;
Atlacoya the Sunarcher;5,00 €;20x20mm;25 mm;Atlacoya the Sunarcher 1;;;;;;
Ayokalotl with Lightning Engine;41,00 €;100x50 mm;120x92 mm;Ayokalotl with Lightning Engine 1;;;;;;
Ayokalotl with Lightning Engine Scenique;46,00 €;100x50 mm;120x92 mm;Ayokalotl with Lightning Engine 1;;;;;;
Ayokalotl with Tekuetl Swarm;50,00 €;100x50 mm;120x92 mm;Ayokalotl with Tekuetl Swarm 1;;;;;;
Ayokalotl with Tekuetl Swarm Scenique;45,00 €;100x50 mm;120x92 mm;Ayokalotl with Tekuetl Swarm 1;;;;;;
Ayotl Unit x3;17,00 €;40x40 mm;50 mm;Ayotl Unit x3 1;;;;;;
Cipactli Unit x3;25,00 €;50x50 mm;50 mm;Cipactli Unit x3 1;;;;;;
Coatl Guard Etat-Major;16,00 €;25x25 mm;32 mm;Coatl Guard Etat-Major 1;Coatl Guard Etat-Major 2;;;;;
Coatl Guard x10;25,00 €;25x25 mm;32 mm;Coatl Guard x10 1;Coatl Guard Etat-Major 2;;;;;
Coatlicue, Cuetzpal Mother;5,00 €;25x25 mm;32 mm;Coatlicue, Cuetzpal Mother 1;;;;;;
Colohti;17,00 €;40x40 mm;50 mm;Colohti 1;;;;;;
Cowabunga Ayotl Squad x5;25,00 €;20x20mm;25 mm;Cowabunga Ayotl Squad x5 1;;;;;;
Cuetzpalli regiment with bows x10;12,00 €;20x20mm;25 mm;Cuetzpalli regiment with bows x10 1;;;;;;
Cuetzpalli regiment with spears x10;11,00 €;20x20mm;25 mm;Cuetzpalli regiment with spears x10 1;;;;;;
Ehecatl Le Dévoreur;20,00 €;50x50 mm;50 mm;Ehecatl Le Dévoreur 1;Ehecatl Le Dévoreur 2;Ehecatl Le Dévoreur 3;Ehecatl Le Dévoreur 4;;;
Ezocamatl Unit x10;16,00 €;25x25 mm;32 mm;;;;;;;
Ezocamatl Etat-Major;8,00 €;25x25 mm;32 mm;Ezocamatl Etat-Major 1;;;;;;
Ezocamatl Knights x5;40,00 €;25x50 mm;60x35mm ;Ezocamatl Knights x5 1;;;;;;
Ezocamtl General on Dilophosaurus;33,00 €;25x50 mm;60x35mm ;Ezocamtl General on Dilophosaurus 1;;;;;;
Ezocamtl Knights Etat-Major;36,00 €;25x50 mm;60x35mm ;Ezocamtl Knights Etat-Major 1;;;;;;
Gallillimus Kuaxotl Riders x5;36,00 €;25x50 mm;60x35mm ;Gallillimus Kuaxotl Riders x5 1;;;;;;
Hueitechtcatl;45,00 €;100x50 mm;120x92 mm;Hueitechtcatl 1;Hueitechtcatl 3;Hueitechtcatl 2;;;;
Kechnakatl;300,00 €;100x200 mm;;Kechnakatl 1;Kechnakatl 2;Kechnakatl 3;;;;
Kuakuauitl Cuetzpalli Riders x5;29,00 €;25x50 mm;60x35mm ;Kuakuauitl Cuetzpalli Riders x5 1;;;;;;
Kuakuauitl with Balista;44,00 €;100x50 mm;120x92 mm;Kuakuauitl with Balista 1;;;;;;
Kuakuauitl with Balista Scenique;50,00 €;100x50 mm;120x92 mm;Kuakuauitl with Balista 1;;;;;;
Kuaxotl hero;4,00 €;20x20mm;25 mm;Kuaxotl hero 1;;;;;;
Kuaxotl Unit x5;9,00 €;20x20mm;25 mm;Kuaxotl Unit x5 1;;;;;;
Metzli the Ruthless;36,00 €;40x40 mm;50 mm;Metzli the Ruthless 1;;;;;;
Ometeotl, Supreme Sorcerer Coatl;40,00 €;50x50 mm;80 mm;Ometeotl, Supreme Sorcerer Coatl 1;Ometeotl, Supreme Sorcerer Coatl 2;Ometeotl, Supreme Sorcerer Coatl 3;Ometeotl, Supreme Sorcerer Coatl 4;Ometeotl, Supreme Sorcerer Coatl 5;Ometeotl, Supreme Sorcerer Coatl 6;Ometeotl, Supreme Sorcerer Coatl 7
