Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Amenhotep, the Terrible on Ammit;43,00 €;100x50 mm;120x92 mm;Amenhotep, the Terrible on Ammit 1;;;;;
Amenophis on Canopic Altar;5,00 €;50x50 mm;60 mm;Amenophis on Canopic Altar 1;;;;;
Amun-Re Guard Etat-Major;5,00 €;20x20 mm;25 mm;Amun-Re Guard Etat-Major 1;;;;;
Amun-Re Guard x10 Epée;14,00 €;20x20 mm;25 mm;Amun-Re Guard x10 1;;;;;
Amun-Re Guard x10 Hallebarde;14,00 €;20x20 mm;25 mm;Amun-Re Guard x10 1;;;;;
Artifact Catapult;36,00 €;60 mm;60 mm;Artifact Catapult 1;;;;;
Bone Colossus;25,00 €;50x50 mm;60 mm;Bone Colossus 1;;;;;
Bone Colossus Scenique;34,00 €;50x50 mm;60 mm;Bone Colossus 1;;;;;
Canopic Guard with Bows x3;20,00 €;40x40 mm;50 mm;Canopic Guard with Bows x3 1;;;;;
Canopic Guard x3;38,00 €;40x40 mm;50 mm;Canopic Guard x3 1;;;;;
Canopic Sorcerer;8,00 €;25x25 mm;28mm;Canopic Sorcerer 1;Canopic Sorcerer 2;Canopic Sorcerer 3;Canopic Sorcerer 4;;
Criosphinx and Amun-Re Temple;82,00 €;100x50 mm;120x92 mm;Criosphinx and Amun-Re Temple 1;;;;;
Criosphinx and Amun-Re Temple Scenique;160,00 €;100x150mm;170x105 mm;Criosphinx and Amun-Re Temple 1;;;;;
Damned Etat-Major;4,00 €;20x20 mm;25 mm;Damned Etat-Major 1;;;;;
Damned regiment x10;8,00 €;20x20 mm;25 mm;Damned regiment x10 1;;;;;
Divine Sphinx;40,00 €;100x50 mm;120x92 mm;Divine Sphinx 1;;;;;
Hathor, Beduin Sorcerer on Rhinoceros;55,00 €;100x50 mm;120x92 mm;Hathor, Beduin Sorcerer on Rhinoceros 1;;;;;
Hathor, Beduin Sorcerer on Rhinoceros Scenique;60,00 €;100x50 mm;120x92 mm;Hathor, Beduin Sorcerer on Rhinoceros 1;;;;;
Hurus Riders Etat-Major;22,00 €;50x25 mm;60x35 mm;Hurus Riders Etat-Major 1;;;;;
Hurus Riders Etat-Major Scenique;22,00 €;50x25 mm;60x35 mm;Hurus Riders Etat-Major 1;;;;;
Hurus Riders x5;18,00 €;50x25 mm;60x35 mm;Hurus Riders x5 1;;;;;
Hurus Riders x5 Scenique;38,00 €;50x25 mm;60x35 mm;Hurus Riders x5 1;;;;;
Hurus Spearmen Etat-Major;4,00 €;20x20 mm;25 mm;Hurus Spearmen Etat-Major 1;;;;;
Hurus Spearmen x10;10,00 €;20x20 mm;25 mm;Hurus Spearmen x10 1;;;;;
Imsety, Canopic Guard Hero;10,00 €;40x40 mm;50 mm;Imsety, Canopic Guard Hero 1;Imsety, Canopic Guard Hero 2;Imsety, Canopic Guard Hero 3;Imsety, Canopic Guard Hero 4;;
Keket Personnage;2,00 €;20x20 mm;25 mm;Keket, Necrosorceress and Hamunaptra columns 1;;;;;
Keket, Necrosorceress and Hamunaptra columns;42,00 €;80x40 mm;75x42 mm;Keket, Necrosorceress and Hamunaptra columns 1;;;;;
Khalid, the Eternal;9,00 €;50x25 mm;60x35 mm;Khalid, the Eternal 1;;;;;
Khalid, the Eternal Scenique;13,00 €;50x25 mm;60x35 mm;Khalid, the Eternal 1;;;;;
Khnum Archers Etat-Major;5,00 €;20x20 mm;25 mm;Khnum Archers Etat-Major 1;;;;;
Khnum Archers x10;10,00 €;20x20 mm;25 mm;Khnum Archers x10 1;;;;;
Khnum Riders Etat-Major;16,00 €;50x25 mm;60x35 mm;Khnum Riders Etat-Major 1;;;;;
