Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Ashura, the Destructor on Ryoryu;40,00 €;50x100 mm;120x92 mm;Ashura, the Destructor on Ryoryu 1;Ashura, the Destructor on Ryoryu 2;Ashura, the Destructor on Ryoryu 3;Ashura, the Destructor on Ryoryu 4;;
Baihu, Tsurugi Hero on Tao Tie;29,00 €;50x100 mm;120x92 mm;Baihu, Tsurugi Hero on Tao Tie 1;Baihu, Tsurugi Hero on Tao Tie 2;Baihu, Tsurugi Hero on Tao Tie 3;;;
Barisuta Hero on Denglong;27,00 €;50x25 mm;60x35 mm;Barisuta Hero on Denglong 1;Barisuta Hero on Denglong 2;Barisuta Hero on Denglong 3;;;
Barisuta Hero on Denglong Cavalier;28,00 €;50x25 mm;60x35 mm;Barisuta Hero on Denglong 1;Barisuta Hero on Denglong 2;Barisuta Hero on Denglong 3;;;
Bái Zé;51,00 €;50x100 mm;120x92 mm;Bái Zé 1;Bái Zé 2;Bái Zé 2;;;
Chūkōnu Etat-Major;9,00 €;20x20mm;25 mm;Chūkōnu Etat-Major 1;Chūkōnu Etat-Major 2;Chūkōnu Etat-Major 3;;;
Chūkōnu x10;18,00 €;20x20mm;25 mm;Chūkōnu x10 1;Chūkōnu x10 2;Chūkōnu x10 3;Chūkōnu x10 4;;
Dakumun Shinobi Etat-Major;6,00 €;20x20mm;25 mm;Dakumun Shinobi Etat-Major 1;Dakumun Shinobi Etat-Major 2;;;;
Dakumun Shinobi x10;18,00 €;20x20mm;25 mm;Dakumun Shinobi x10 1;Dakumun Shinobi x10 2;Dakumun Shinobi x10 3;Dakumun Shinobi x10 4;;
Fuma Shuriken Shinobi Hero;4,00 €;20x20mm;25 mm;Fuma Shuriken Shinobi Hero 1;Fuma Shuriken Shinobi Hero 2;;;;
Hisui Guard Etat-Major;12,00 €;20x20mm;25 mm;Hisui Guard Etat-Major 1;;;;;
Hisui Guard x10;24,00 €;20x20mm;25 mm;Hisui Guard x10 1;;;;;
Junichiro on Baku;25,00 €;60x40 mm;90x52 mm;Junichiro on Baku 1;;;;;
Junichiro on foot;4,00 €;20x20mm;25 mm;Junichiro on foot 1;;;;;
Kaguya, Moonlight Priestess;3,00 €;20x20mm;25 mm;Kaguya, Moonlight Priestess 1;;;;;
Kamaitachi Riders x5;38,00 €;50x25 mm;60x35 mm;Kamaitachi Riders x5 1;;;;;
Ketsueki Altar;66,00 €;50x100 mm;120x92 mm;Ketsueki Altar 1;Ketsueki Altar 2;Ketsueki Altar 3;Ketsueki Altar 4;;
Koi, Mystic Leviathan;95,00 €;170x140 mm;170x105 mm;Koi, Mystic Leviathan 1;;;;;
Kurosubō Hero;4,00 €;20x20mm;25 mm;Kurosubō Hero 1;Kurosubō Hero 2;Kurosubō Hero 3;Kurosubō Hero 4;;
