Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6;Photo 7;Photo 8;Photo 9;Photo 10;Photo 11;Photo 12
Mongrels Etat-Major ;5,00 €;25x25 mm;32x32 mm;Mongrels Etat-Major 1;Mongrels Etat-Major 2;Mongrels Etat-Major 3;;;;;;;;;
Mongrels x10 ;9,50 €;25x25 mm;32x32 mm;Mongrels x10 1;Mongrels x10 2;Mongrels x10 3;Mongrels x10 4;Mongrels x10 5;;;;;;;
Warhound ;14,00 €;25x50 mm;35x60 mm;Warhound 1;Warhound 2;Warhound 3;;;;;;;;;
Infanterie x10 Etat-Major ;6,00 €;25x25 mm;32x32 mm;Infanterie x10 Etat-Major 1;Infanterie x10 Etat-Major 2;Infanterie x10 Etat-Major 3;;;;;;;;;
Infanterie x10 ;16,00 €;25x25 mm;32x32 mm;Infanterie x10 1;Infanterie x10 2;Infanterie x10 3;Infanterie x10 4;Infanterie x10 5;Infanterie x10 6;;;;;;
Hunter ;5,00 €;25x25 mm;32x32 mm;Hunter 1;Hunter 2;Hunter 3;Hunter 4;Hunter 5;Hunter 6;Hunter 7;;;;;
Centaurs Etat-Major ;11,00 €;25x50 mm;35x60 mm;Centaurs Etat-Major 1;Centaurs Etat-Major 2;Centaurs Etat-Major 3;;;;;;;;;
Centaurs x5 ;17,50 €;25x50 mm;35x60 mm;Centaurs x5 1;Centaurs x5 2;Centaurs x5 3;;;;;;;;;
Centaurs Hero ;8,00 €;25x50 mm;35x60 mm;Centaurs Hero 1;Centaurs Hero 2;Centaurs Hero 3;Centaurs Hero 4;;;;;;;;
Un hero sur char ;29,00 €;50x100 mm;92x120 mm;Un hero sur char 1;Un hero sur char 2;Un hero sur char 3;Un hero sur char 4;Un hero sur char 5;Un hero sur char 6;Un hero sur char 7;;;;;
Char ;24,00 €;50x100 mm;92x120 mm;Char 1;Char 2;Char 3;Char 4;Char 5;;;;;;;
Gentilak ;62,00 €;100x100 mm;120 mm;Gentilak 1;Gentilak 2;Gentilak 3;Gentilak 4;;;;;;;;
Dragon ;58,00 €;100x100 mm;120 mm;Dragon 1;Dragon 2;Dragon 3;Dragon 4;;;;;;;Roroa Khans + Yarablin x10 11;Roroa Khans + Yarablin x10 12
;;;;;;;;;;;;;;;

