Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Abijiya, Mother Shaman on Yoho;35,00 €;50x100 mm;120x92 mm;Abijiya, Mother Shaman on Yoho 1;;;;;
Berserker Orc;15,00 €;50x50 mm;60 mm;Berserker Orc 1;;;;;
Berserker Orc Scenique;9,00 €;50x50 mm;60 mm;Berserker Orc 1;;;;;
Gonghis Khan, Lord Commander on Nian;40,00 €;50x100 mm;120x92 mm;Gonghis Khan, Lord Commander on Nian 1;;;;;
Magmhôrim Dalianzhu;36,00 €;60 mm;60 mm;Magmhôrim Dalianzhu 1;;;;;
Magmhôrim Hwacha Version 1;40,00 €;60 mm;60 mm;Magmhôrim Hwacha 1;Magmhôrim Hwacha 2;;;;
Magmhôrim Hwacha Version 2;40,00 €;60 mm;60 mm;Magmhôrim Hwacha 1;Magmhôrim Hwacha 2;;;;
Magmhôrim Softener;44,00 €;60 mm;60 mm;Magmhôrim Softener 1;Magmhôrim Softener 2;;;;
Magmhôrim Swirling;44,00 €;60 mm;60 mm;Magmhôrim Swirling 1;Magmhôrim Swirling 2;Magmhôrim Swirling 3;;;
Mongobbo Balista;12,00 €;60 mm;60 mm;Mongobbo Balista 1;;;;;
Mongobbo Bowmen Etat-Major;8,00 €;;25 mm;Mongobbo Bowmen Etat-Major 1;;;;;
Mongobbo Bowmen Knights Etat-Major;30,00 €;25x50 mm;35x60 mm;Mongobbo Bowmen Knights Etat-Major 1;;;;;
Mongobbo Bowmen Knights x5;40,00 €;25x50 mm;35x60 mm;Mongobbo Bowmen Knights x5 1;;;;;
Mongobbo Bowmen x10;14,00 €;20x20 mm;25 mm;Mongobbo Bowmen x10 1;;;;;
Mongobbo Gunner on Throl;40,00 €;50x50 mm;60 mm;Mongobbo Gunner on Throl 1;Mongobbo Gunner on Throl 2;Mongobbo Gunner on Throl 3;;;
Mongobbo Spearmen Etat-Major;8,00 €;20x20 mm;25 mm;Mongobbo Spearmen Etat-Major 1;;;;;
Mongobbo Spearmen Knights Etat-Major;30,00 €;25x50 mm;35x60 mm;Mongobbo Spearmen Knights Etat-Major 1;;;;;
Mongobbo Spearmen Knights x5;40,00 €;25x50 mm;35x60 mm;Mongobbo Spearmen Knights x5 1;;;;;
Mongobbo Spearmen x10;16,00 €;20x20 mm;25 mm;Mongobbo Spearmen x10 1;;;;;
Ogodoi Khan, the Successor;3,00 €;25x25 mm;32 mm;Ogodoi Khan, the Successor 1;;;;;
Ostrogoth, the Charmer;39,00 €;100x100 mm;130 mm;Ostrogoth, the Charmer 1;;;;;
Ostrogoth, the Charmer Scenique;45,00 €;100x100 mm;130 mm;Ostrogoth, the Charmer 1;;;;;
Steppe Rider on Direwolf Etat-Major;34,00 €;25x50 mm;35x60 mm;Steppe Rider on Direwolf Etat-Major 1;;;;;
Steppe Rider on Direwolf x5;42,00 €;25x50 mm;35x60 mm;Steppe Rider on Direwolf x5 1;;;;;
Titan;220,00 €;100x100 mm;130 mm;Titan 1;Titan 2;Titan 3;Titan 4;;
Uhur & Ofdukn the Unchained;11,00 €;25x25 mm;32 mm;Uhur & Ofdukn the Unchained 1;Uhur & Ofdukn the Unchained 2;;;;
Urk slaves Etat-Major;17,00 €;25x25 mm;32 mm;Urk slaves Etat-Major 1;Urk slaves Etat-Major 2;Urk slaves Etat-Major 3;;;
Urk Slaves x10;40,00 €;25x25 mm;32 mm;Urk Slaves x10 1;Urk Slaves x10 2;Urk Slaves x10 3;;;
