Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Abyssal Golem;75,00 €;100x100 mm;130 mm;Abyssal Golem 1;Abyssal Golem 2;Abyssal Golem 3;;;
Abyssal Mortar;12,00 €;60 mm;60 mm;Abyssal Mortar 1;;;;;
Alucard On Zombie Dragon;85,00 €;100x150 mm;105x160mm;Alucard On Zombie Dragon 1;Alucard On Zombie Dragon 2;Alucard On Zombie Dragon 3;;;
Alucard The Deep Acheron;10,00 €;25x25 mm;32 mm;Alucard The Deep Acheron 1;Alucard The Deep Acheron 2;Alucard The Deep Acheron 3;;;
Antonette, the Headligh & Trench collector;40,00 €;50x50 mm;60 mm;Antonette, the Headligh & Trench collector 1;;;;;
Averill & Leonora, the Conjoined Twins;4,00 €;25x25 mm;32 mm;Averill & Leonora, the Conjoined Twins 1;;;;;
Bat Manta Swarms x3;24,00 €;40x40 mm;50 mm;Bat Manta Swarms x3 1;Bat Manta Swarms x3 2;Bat Manta Swarms x3 3;;;
Bernadine Shadowless Corvinus;39,00 €;50x50 mm;60 mm;Bernadine Shadowless Corvinus 1;Bernadine Shadowless Corvinus 2;Bernadine Shadowless Corvinus 3;;;
Captain Saw Leg & Mr Boom;4,00 €;20x20 mm;25 mm;Captain Saw Leg & Mr Boom 1;;;;;
Captain “Smoke”, Undead Ogre hero;10,00 €;40x40 mm;50 mm;Captain “Smoke”, Undead Ogre hero 1;Captain “Smoke”, Undead Ogre hero 2;Captain “Smoke”, Undead Ogre hero 3;;;
Corpse Hermit Crab;70,00 €;100x150 mm;105x160mm;Corpse Hermit Crab 1;Corpse Hermit Crab 2;Corpse Hermit Crab 3;;;
Deep Chariot;76,00 €;100x150 mm;105x160mm;Deep Chariot 1;Deep Chariot 2;Deep Chariot 3;;;
Deep Sea Diver & Small Beauty;22,00 €;50x50 mm;50 mm;Deep Sea Diver & Small Beauty 1;Deep Sea Diver & Small Beauty 2;Deep Sea Diver & Small Beauty 3;Deep Sea Diver & Small Beauty 4;Deep Sea Diver & Small Beauty 5;
Deep Sea Zombies Etat-Major;8,00 €;25x25 mm;32 mm;Deep Sea Zombies Etat-Major 1;;;;;
Deep Sea Zombies x10;15,00 €;25x25 mm;32 mm;Deep Sea Zombies x10 1;;;;;
Dregan Bones Acheron, the Necromancer;5,00 €;20x20 mm;25 mm;Dregan Bones Acheron, the Necromancer 1;;;;;
Earla, Queen of Shipwrecks;24,00 €;50x50 mm;60 mm;Earla, Queen of Shipwrecks 1;;;;;
Eldritch The Claw, Vycanthrope Hero;12,00 €;40x40 mm;50 mm;Eldritch The Claw, Vycanthrope Hero 1;;;;;
Elnora Nightwind Acheron on Undead Vamp Ray;45,00 €;25x25 mm;32 mm;Elnora Nightwind Acheron on Undead Vamp Ray 1;;;;;
Ghūl Etat-Major;9,00 €;20x20 mm;25 mm;Ghūl Etat-Major 1;Ghūl Etat-Major 2;Ghūl Etat-Major 3;;;
Ghūl x10;20,00 €;20x20 mm;25 mm;Ghūl x10 1;Ghūl x10 2;Ghūl x10 3;;;
Misty Island Gunners Etat-Major;5,00 €;20x20 mm;25 mm;Misty Island Gunners Etat-Major 1;Misty Island Gunners Etat-Major 2;Misty Island Gunners Etat-Major 3;;;
Misty Island Gunners x10;12,00 €;20x20 mm;25 mm;Misty Island Gunners x10 1;Misty Island Gunners x10 2;Misty Island Gunners x10 3;;;
Ozul, Ghūl King;8,00 €;25x25 mm;32 mm;Ozul, Ghūl King 1;Ozul, Ghūl King 2;Ozul, Ghūl King 3;;;
Red Knights Etat-Major;47,00 €;25x50 mm;35x60 mm;Red Knights Etat-Major 1;Red Knights Etat-Major 2;Red Knights Etat-Major 3;;;
Red Knights x5;49,00 €;25x50 mm;35x60 mm;Red Knights x5 1;Red Knights x5 2;Red Knights x5 3;Red Knights x5 4;;
Shipwreck Maker;75,00 €;75x100 mm;130 mm;Shipwreck Maker 1;Shipwreck Maker 2;Shipwreck Maker 3;Shipwreck Maker 4;;
Shipwreck screamers x3;24,00 €;40x40 mm;50 mm;Shipwreck screamers x3 1;;;;;
Skeleton Buccaneers Etat-Major;6,00 €;20x20 mm;25 mm;Skeleton Buccaneers Etat-Major 1;;;;;
Skeleton Buccaneers x10;4,00 €;20x20 mm;25 mm;Skeleton Buccaneers x10 1;;;;;
Skull Crab Swarms x3;20,00 €;40x40 mm;50 mm;Skull Crab Swarms x3 1;Skull Crab Swarms x3 2;Skull Crab Swarms x3 3;;;
Sunken Giant;32,00 €;75x100 mm;130 mm;Sunken Giant 1;Sunken Giant 2;Sunken Giant 3;;;
Trench Cannon;15,00 €;50x50 mm;60 mm;Trench Cannon 1;Trench Cannon 2;Trench Cannon 3;;;
Undead Ogre Etat-Major;15,00 €;40x40 mm;50 mm;Undead Ogre Etat-Major 1;Undead Ogre Etat-Major 2;Undead Ogre Etat-Major 3;;;
Undead Ogre x3;16,00 €;40x40 mm;50 mm;Undead Ogre x3 1;Undead Ogre x3 2;Undead Ogre x3 3;;;
Vycanthropes Looters x3;12,00 €;40x40 mm;50 mm;Vycanthropes Looters x3 1;;;;;
Wigor “The bomber” Acheron;4,00 €;20x20 mm;25 mm;Wigor “The bomber” Acheron 1;Wigor “The bomber” Acheron 2;Wigor “The bomber” Acheron 3;;;
