Titre;Prix;Socle carré;Socle rond;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Anointed Bul-thaurs x3;42,00 €;50x100 mm;120x92 mm;Anointed Bul-thaurs x3 1;Anointed Bul-thaurs x3 2;;;;
Anointed Bul-thaurs x3 Casque;42,00 €;50x100 mm;120x92 mm;Anointed Bul-thaurs x3 1;Anointed Bul-thaurs x3 2;;;;
Assur on Great Taurus;44,00 €;50x100 mm;120x92 mm;Assur on Great Taurus 1;;;;;
Assur on Great Taurus Scenique;61,00 €;50x100 mm;120x92 mm;Assur on Great Taurus 1;;;;;
Assur on Great Taurus Wings;61,00 €;50x100 mm;120x92 mm;Assur on Great Taurus 1;;;;;
Assur on Great Taurus Wings Scenique;78,00 €;50x100 mm;120x92 mm;Assur on Great Taurus 1;;;;;
Assur on Taurus;45,00 €;50x100 mm;120x92 mm;Assur on Taurus 1;;;;;
Assur, The God King on Palanquin;65,00 €;150x100 mm;170x105 mm;Assur, The God King on Palanquin 1;;;;;
Berserker Etat-Major;8,00 €;20x20 mm;25 mm;Berserker Etat-Major 1;;;;;
Berserkers Unit x10;18,00 €;20x20 mm;25 mm;Berserkers Unit x10 1;Berserkers Unit x10 2;;;;
Berserkers Unit x5;14,00 €;20x20 mm;25 mm;Berserkers Unit x5 1;Berserkers Unit x5 2;;;;
Bul-thaur Hero;12,00 €;25x50 mm;60x35 mm;Bul-thaur Hero 1;;;;;
Bul-thaurs x5;39,00 €;25x50 mm;60x35 mm;Bul-thaurs x5 1;;;;;
Death Guard with Arquebuses Etat-Major;9,00 €;20x20 mm;25 mm;Death Guard with Arquebuses Etat-Major 1;;;;;
Death Guard with Arquebuses x10;22,00 €;20x20 mm;25 mm;Death Guard with Arquebuses x10 1;Death Guard with Arquebuses x10 2;;;;
Elite Guard Commander on Bull;16,00 €;50x50 mm;90x52 mm;Elite Guard Commander on Bull 1;;;;;
Elite Guard Commander on Bull Scenique;28,00 €;50x50 mm;90x52 mm;Elite Guard Commander on Bull 1;;;;;
Elite Guard Etat-Major;8,00 €;20x20 mm;25 mm;Elite Guard Etat-Major 1;;;;;
Elite Guard x10;21,00 €;20x20 mm;25 mm;Elite Guard x10 1;Elite Guard x10 2;;;;
Hurgroth, Bul-thaur Hero;29,00 €;50x100 mm;120x92 mm;Hurgroth, Bul-thaur Hero 1;Hurgroth, Bul-thaur Hero 2;;;;
Hurgroth, Bul-thaur Hero Casque;29,00 €;50x100 mm;120x92 mm;Hurgroth, Bul-thaur Hero 1;Hurgroth, Bul-thaur Hero 2;;;;
Hurgroth, Bul-thaur Hero Scenique;34,00 €;50x100 mm;120x92 mm;Hurgroth, Bul-thaur Hero 1;Hurgroth, Bul-thaur Hero 2;;;;
Immortel Etat-Major;6,00 €;20x20 mm;25 mm;Immortel Etat-Major 1;;;;;
Immortel x10;20,00 €;20x20 mm;25 mm;Immortel x10 1;;;;;
Magma Thrower;40,00 €;;120x92 mm;Magma Thrower 1;Magma Thrower 2;;;;
Magma Thrower Scenique;45,00 €;;120x92 mm;Magma Thrower 1;Magma Thrower 2;;;;
Magmhorin Devastator Taille 0,7;50,00 €;150x100 mm;170x105 mm;Magmhorin Devastator Taille 0,7 1;Magmhorin Devastator Taille 0,7 2;;;;
Magmhorin Devastator Taille 0,7 Scenique;70,00 €;150x100 mm;170x105 mm;Magmhorin Devastator Taille 0,7 1;Magmhorin Devastator Taille 0,7 2;;;;
Magmhorin Mercenary;18,00 €;50x50 mm;25 mm;Magmhorin Mercenary 1;;;;;
Magmhorin Warriors x10;26,00 €;20x20 mm;25 mm;Magmhorin Warriors x10 1;;;;;
Magmhorin-sorcerer;3,00 €;20x20 mm;25 mm;Magmhorin-sorcerer 1;;;;;
Magmhôrim Slaver;9,00 €;40x40 mm;40 mm;Magmhôrim Slaver 1;;;;;
Magmhôrim Standard Bearer;4,00 €;20x20 mm;25 mm;Magmhôrim Standard Bearer 1;;;;;
Magmhôrin Balista;60,00 €;;120x92 mm;Magmhôrin Balista 1;Magmhôrin Balista 2;;;;
Magmhôrin Chariots V1;22,00 €;50x100 mm;120x92 mm;Magmhôrin Chariots 1;Magmhôrin Chariots 2;;;;
Magmhôrin Chariots V1 Scenique;25,00 €;50x100 mm;120x92 mm;Magmhôrin Chariots 1;Magmhôrin Chariots 2;;;;
Magmhôrin Chariots V2;22,00 €;50x100 mm;120x92 mm;Magmhôrin Chariots 1;Magmhôrin Chariots 2;;;;
Magmhôrin Chariots V2 Scenique;25,00 €;50x100 mm;120x92 mm;Magmhôrin Chariots 1;Magmhôrin Chariots 2;;;;
Magmhôrin Golems x3;31,00 €;40x40 mm;50 mm;Magmhôrin Golems x3 1;;;;;
Magmhôrin SiegeTower;120,00 €;50x100 mm;120x92 mm;Magmhôrin SiegeTower 1;;;;;
Mongobbo Slingshot;50,00 €;60 mm;120x92 mm;Mongobbo Slingshot 1;;;;;
The Anzu Cannon;75,00 €;180x130 mm;170x105 mm;The Anzu Cannon 1;The Anzu Cannon 2;;;;
Whuldral Fireaxe, Berserker Hero;3,50 €;20x20 mm;25 mm;Whuldral Fireaxe, Berserker Hero 1;Whuldral Fireaxe, Berserker Hero 2;Whuldral Fireaxe, Berserker Hero 3;;;
