Titre;Prix;Dimension;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Banner A;0,50 €;;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Banner B;0,50 €;;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Banner C;0,50 €;;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Corner A;12,00 €;10x10 cm;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Corner Inner B;11,00 €;9,5x9,5 cm ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Corner Tower;37,50 €;12,5x12,5 cm ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Destroyed Wall Corner Tower;20,00 €;16x16 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Destroyed Door;11,00 €;14x12 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Destroyed Wall Center;10,00 €;14x14 cm ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Destroyed Wall Left;9,00 €;15x10 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Destroyed Wall Right;6,00 €;12x9 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Door A;16,00 €;14x9 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Wall A;12,00 €;14x5,5 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Wall B;12,00 €;14x5,5 cm ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Wall C Artillery;14,00 €;14x10 cm  ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
Wall D Stairs;16,00 €;14x9 cm ;Fortress 1;Fortress 2;Fortress 3;Fortress 4;Fortress 5;Fortress 6
