Titre;Prix;Dimension;Photo 1;Photo 2;Photo 3;Photo 4;Photo 5;Photo 6
Altar of Sacrifice;37,00 €;23x23 cm;Altar of Sacrifice 1;;;;;
Altar of Sacrifice +40 Magnets;39,00 €;23x23 cm;Altar of Sacrifice 1;;;;;
Cuetzpal Bazaar;9,00 €;65x95 mm;Cuetzpal Bazaar 1;;;;;
Cuetzpal empire BIG scenic bases rond A;25,00 €;92x120 mm;Cuetzpal empire BIG scenic bases 1;;;;;
Cuetzpal empire BIG scenic bases carré A;25,00 €;50x100 mm;Cuetzpal empire BIG scenic bases 1;;;;;
Cuetzpal empire BIG scenic bases rond B;25,00 €;92x120 mm;Cuetzpal empire BIG scenic bases 1;;;;;
Cuetzpal empire BIG scenic bases carré B;25,00 €;50x100 mm;Cuetzpal empire BIG scenic bases 1;;;;;
Cuetzpal Gold Coin;1,00 €;;Cuetzpal Gold Coin 1;;;;;
Cuetzpal Gold Coin x10;9,00 €;;Cuetzpal Gold Coin 1;;;;;
Cuetzpal Gold Coin x30;25,00 €;;Cuetzpal Gold Coin 1;;;;;
Cuetzpal Prisoners;6,00 €;;Cuetzpal Prisoners 1;;;;;
Cuetzpal Town and Temazcal;39,00 €;;Cuetzpal Town and Temazcal 1;;;;;
Dinosaur Nests;5,00 €;D45mm à D 80mm;Dinosaur Nests 1;;;;;
Ehecatl Shrine 4è étage;53,00 €;20x19x18 cm;Ehecatl Shrine 4è étage 1;;;;;
Ehecatl Shrine 4+3è étages;88,00 €;25x24x23 cm;Ehecatl Shrine 4+3è étages 1;;;;;
Ehecatl Shrine 4+3+2è étages;131,00 €;29x29x29 cm;Ehecatl Shrine 4+3+2è étages 1;;;;;
Ehecatl Shrine;193,00 €;33x34x35 cm;Ehecatl Shrine 1;Ehecatl Shrine 4thfloor 1;Ehecatl Shrine 3thfloor 1;Ehecatl Shrine 2thfloor 1;Ehecatl Shrine 1thfloor 1;
Ehecatl Shrine +90 Magnets;197,50 €;33x34x35 cm;Ehecatl Shrine 1;Ehecatl Shrine 4thfloor 1;Ehecatl Shrine 3thfloor 1;Ehecatl Shrine 2thfloor 1;Ehecatl Shrine 1thfloor 1;
Fences;4,00 €;;Fences 1;;;;;
Iluikatl Platform;90,00 €;38x30 cm;Iluikatl Platform 1;;;;;
Iluikatl Platform +64 Magnets;93,20 €;38x30 cm;Iluikatl Platform 1;;;;;
Interdimensional Gate;35,00 €;20x16 cm;Interdimensional Gate 1;;;;;
